"Ticker";"Name";"Type";"Amount";"Value in USD";"Value in BTC";"% of total";"Price in BTC";"Price in USD";"Trend 1h in %";"Trend 24h in %";"Trend 7d in %";"Trend 30d in %"
"HTM";"Hatom";"Coin";"1269.77000000";"117.67";"0.00107144";"0.03";"0.000000843806";"0.09266886";"1.89";"-4.78";"-12.29";"-37.90"
"ORCA";"Orca";"Coin";"52.95673400";"115.44";"0.00105119";"0.03";"0.000019849923";"2.17996757";"-0.28";"-1.23";"-6.41";"-14.50"
"DIAMOND";"DiamondToken";"Coin";"10.00000000";"113.19";"0.00103063";"0.03";"0.000103062558";"11.31858468";"0.00";"0.00";"-6.33";"-0.03"
"NEO";"Neo";"Coin";"15.54274804";"107.86";"0.00098211";"0.03";"0.000063187364";"6.93939239";"-0.01";"-12.43";"14.03";"2.55"
"RPL";"Rocket Pool";"Coin";"14.83340497";"105.62";"0.00096177";"0.03";"0.000064838003";"7.12066964";"-0.55";"-1.42";"-3.83";"-7.02"
"HBAR";"Hedera";"Coin";"444.09201980";"103.91";"0.00094619";"0.02";"0.000002130628";"0.23399083";"-0.81";"-0.64";"-3.20";"-19.45"
"EIGEN";"EigenLayer";"Coin";"82.33348890";"101.40";"0.00092327";"0.02";"0.000011213827";"1.23153018";"-0.48";"-3.90";"-6.94";"-12.43"
"APT3";"Aptos";"Coin";"22.81635683";"98.31";"0.00089521";"0.02";"0.000039235238";"4.30891075";"-0.32";"-1.58";"-4.25";"-11.73"
"FLR2";"Flare";"Coin";"4397.90960000";"97.99";"0.00089227";"0.02";"0.000000202885";"0.02228133";"-0.17";"-2.70";"-6.39";"-10.27"
"SC";"Siacoin";"Coin";"28504.19488221";"86.50";"0.00078764";"0.02";"0.000000027632";"0.00303461";"-0.20";"-3.49";"-1.19";"-12.46"
"FXS";"Frax prev. FXS";"Coin";"32.84048721";"84.10";"0.00076579";"0.02";"0.000023318533";"2.56089889";"-0.32";"-3.94";"-6.14";"-27.72"
"BONK";"Bonk";"Coin";"4134324.45000000";"83.76";"0.00076266";"0.02";"0.000000000184";"0.00002021";"1.00";"-9.38";"-5.58";"-39.94"
"JUNO";"JUNO";"Coin";"1175.43200400";"81.87";"0.00074549";"0.02";"0.000000634227";"0.06965238";"0.38";"-3.03";"-4.44";"-23.17"
"STRK2";"Starknet";"Coin";"650.53256121";"81.83";"0.00074508";"0.02";"0.000001145340";"0.12578407";"-0.45";"-3.35";"-6.58";"-8.15"
"VANRY";"Vanar Chain";"Coin";"2824.47539520";"79.89";"0.00072746";"0.02";"0.000000257555";"0.02828533";"-0.56";"-2.51";"-9.03";"-24.56"
"ALCX";"Alchemix";"Coin";"7.83054293";"76.94";"0.00070056";"0.02";"0.000089464938";"9.82526047";"-0.24";"-3.47";"-5.40";"-2.81"
"PENDLE";"Pendle";"Coin";"14.45347188";"76.20";"0.00069385";"0.02";"0.000048005687";"5.27210312";"0.22";"-2.78";"-1.64";"19.21"
"SNX";"Synthetixnetwork";"Coin";"117.30520106";"74.78";"0.00068089";"0.02";"0.000005804419";"0.63745563";"-0.57";"-8.03";"0.45";"-6.16"
"ENJ";"Enjin Coin";"Coin";"1100.14400000";"72.35";"0.00065875";"0.02";"0.000000598782";"0.06575972";"-0.59";"-3.25";"-4.34";"-19.87"
"LUNA3";"Terra v2";"Coin";"465.17720377";"68.58";"0.00062442";"0.02";"0.000001342331";"0.14741811";"-0.32";"-2.90";"-5.76";"-16.14"
"ONDO";"Ondo";"Coin";"69.28000000";"62.47";"0.00056887";"0.01";"0.000008211120";"0.90176548";"0.14";"-1.76";"-5.47";"-14.86"
"1INCH";"1inch";"Coin";"253.47205773";"61.31";"0.00055829";"0.01";"0.000002202551";"0.24188959";"0.01";"-2.93";"-1.77";"-16.41"
"HMSTR";"Hamster Kombat";"Coin";"89225.09000000";"61.21";"0.00055735";"0.01";"0.000000006247";"0.00068606";"-0.23";"-3.20";"-4.79";"-19.19"
"SPX3";"SPX6900";"Coin";"50.00000000";"59.34";"0.00054037";"0.01";"0.000010807417";"1.18689723";"-0.39";"-4.60";"-14.26";"-44.50"
"ETHFI";"ether.fi";"Coin";"51.25855428";"55.73";"0.00050742";"0.01";"0.000009899143";"1.08714834";"-0.63";"-6.36";"-1.98";"-14.30"
"CKB";"Nervos Network";"Coin";"11426.57667696";"52.79";"0.00048066";"0.01";"0.000000042065";"0.00461968";"-0.40";"-3.11";"-7.33";"-24.32"
"WAL3";"Walrus";"Coin";"128.07869000";"50.51";"0.00045995";"0.01";"0.000003591143";"0.39438819";"-0.49";"-2.15";"-7.96";"-18.15"
"XVS";"Venus";"Coin";"7.22464823";"44.82";"0.00040816";"0.01";"0.000056494796";"6.20439804";"-0.21";"-1.71";"1.89";"-10.23"
"PHA";"Phala Network";"Coin";"411.30205196";"44.36";"0.00040388";"0.01";"0.000000981961";"0.10784138";"-0.98";"-5.73";"1.41";"-9.48"
"REP";"Augur";"Coin";"38.66400000";"39.69";"0.00036143";"0.01";"0.000009348055";"1.02662649";"0.56";"-4.22";"8.39";"14.19"
"RDNT";"Radiant Capital";"Coin";"1935.95252027";"39.59";"0.00036046";"0.01";"0.000000186192";"0.02044807";"-0.16";"-2.48";"-6.05";"-17.43"
"FTT";"FTX Token";"Coin";"44.46419215";"37.74";"0.00034367";"0.01";"0.000007729211";"0.84884104";"-0.41";"-2.59";"-6.41";"-12.07"
"PNUT2";"Peanut the Squirrel";"Coin";"166.30000000";"35.87";"0.00032661";"0.01";"0.000001963978";"0.21568891";"0.40";"1.25";"-2.23";"-24.63"
"TRUMP";"Official-trump";"Coin";"4.13395164";"34.00";"0.00030957";"0.01";"0.000074884799";"8.22403359";"-0.37";"-5.29";"-4.65";"-20.30"
"VSX";"Vsync";"Coin";"11439.00000000";"32.90";"0.00029959";"0.01";"0.000000026190";"0.00287625";"-0.37";"-3.21";"-2.79";"-8.04"
"SEI2";"Sei";"Coin";"103.12173494";"29.82";"0.00027151";"0.01";"0.000002632927";"0.28915455";"-0.01";"-1.54";"-10.16";"-16.25"
"CBXRP";"Coinbase Wrapped XRP";"Coin";"10.00000000";"29.14";"0.00026531";"0.01";"0.000026530644";"2.91366085";"-0.18";"-1.14";"-3.25";"-10.05"
"FLOW";"Flow-dapper-labs";"Coin";"65.30953374";"24.47";"0.00022281";"0.01";"0.000003411621";"0.37467264";"0.03";"-7.75";"2.43";"-11.72"
"BOBA";"Boba Network";"Coin";"263.10000000";"24.30";"0.00022123";"0.01";"0.000000840848";"0.09234400";"0.15";"0.41";"-2.02";"-9.52"
"BASE";"Base Protocol";"Coin";"12.61926747";"16.49";"0.00015016";"0.00";"0.000011899534";"1.30683622";"0.00";"0.00";"0.00";"-0.03"
"GIFT";"Gift-Coin";"Coin";"1819.00000000";"15.18";"0.00013825";"0.00";"0.000000076002";"0.00834673";"0.01";"-0.14";"1.17";"-0.03"
"MASA";"Masa";"Coin";"1009.09992893";"14.88";"0.00013553";"0.00";"0.000000134304";"0.01474960";"-1.19";"-1.79";"-6.36";"-24.12"
"HUMA";"Huma Finance";"Coin";"582.94064728";"14.14";"0.00012878";"0.00";"0.000000220910";"0.02426088";"0.04";"-3.54";"-27.24";"-36.63"
"LUNA";"Luna Coin";"Coin";"10.82512300";"13.24";"0.00012055";"0.00";"0.000011135756";"1.22295623";"-1.32";"9999.99";"9999.99";"-0.03"
"WLKN";"Walken";"Coin";"20966.93587153";"12.48";"0.00011365";"0.00";"0.000000005421";"0.00059535";"-0.05";"0.73";"-8.97";"43.79"
"VRA";"Verasity";"Coin";"6722.19000000";"9.78";"0.00008907";"0.00";"0.000000013250";"0.00145515";"-1.59";"-4.97";"0.00";"-20.01"
"KTA";"Keeta";"Coin";"8.48531583";"8.91";"0.00008116";"0.00";"0.000009564891";"1.05043995";"0.97";"-0.90";"-16.84";"-8.10"
"PROVE";"Succinct";"Coin";"8.66116464";"8.76";"0.00007973";"0.00";"0.000009205644";"1.01098656";"-0.69";"1.04";"-16.43";"0.78"
"TUSD";"TrueUSD";"Coin";"8.48531583";"8.48";"0.00007719";"0.00";"0.000009096924";"0.99904666";"-0.01";"0.01";"0.01";"0.00"
"PLUME";"Plume";"Coin";"85.31063075";"7.24";"0.00006595";"0.00";"0.000000773004";"0.08489321";"-0.60";"-2.68";"-2.65";"-22.45"
"SAHARA";"Sahara AI";"Coin";"72.62215432";"6.29";"0.00005728";"0.00";"0.000000788777";"0.08662544";"-1.02";"-1.48";"-2.60";"-6.20"
"WETH";"WETH";"Coin";"0.00133058";"5.91";"0.00005378";"0.00";"0.040420876825";"4439.12053249";"0.26";"-2.85";"3.42";"14.98"
"MEGADOGE";"MegaDoge";"Coin";"1000.00000000";"4.97";"0.00004528";"0.00";"0.000000045277";"0.00497243";"0.00";"0.00";"-1.29";"-0.03"
"TOWNS";"Towns";"Coin";"183.06962200";"4.13";"0.00003760";"0.00";"0.000000205374";"0.02255468";"-1.00";"-3.82";"-22.08";"-43.79"
"ANC2";"Anchor Protocol";"Coin";"1392.49521100";"4.12";"0.00003749";"0.00";"0.000000026920";"0.00295642";"0.00";"0.00";"0.30";"-0.03"
"TREMP";"Doland Tremp";"Coin";"216.45204876";"3.90";"0.00003555";"0.00";"0.000000164223";"0.01803538";"-0.95";"-5.48";"-4.04";"-1.28"
